Date,Close,Volume,corp_code,corp_name
2021-09-17,109529.84375,17373529,329180,HD현대중공업
2021-09-23,97348.9375,2914293,329180,HD현대중공업
2021-09-24,97447.171875,2262592,329180,HD현대중공업
2021-09-27,95286.046875,672212,329180,HD현대중공업
2021-09-28,98233.046875,1037427,329180,HD현대중공업
2021-09-29,105600.515625,1435139,329180,HD현대중공업
2021-09-30,113459.15625,1704373,329180,HD현대중공업
2021-10-01,111494.5,1203513,329180,HD현대중공업
2021-10-05,102653.5234375,706523,329180,HD현대중공업
2021-10-06,105109.3515625,797435,329180,HD현대중공업
2021-10-07,107565.171875,474072,329180,HD현대중공업
2021-10-08,102653.5234375,423907,329180,HD현대중공업
2021-10-12,99215.375,292797,329180,HD현대중공업
2021-10-13,100197.703125,252749,329180,HD현대중공업
2021-10-14,100197.703125,248276,329180,HD현대중공업
2021-10-15,103144.6953125,292470,329180,HD현대중공업
2021-10-18,99706.5390625,659149,329180,HD현대중공업
2021-10-19,99706.5390625,332255,329180,HD현대중공업
2021-10-20,98724.2109375,269309,329180,HD현대중공업
2021-10-21,98724.2109375,239165,329180,HD현대중공업
2021-10-22,99215.375,169264,329180,HD현대중공업
2021-10-25,104127.0234375,516573,329180,HD현대중공업
2021-10-26,106582.84375,388727,329180,HD현대중공업
2021-10-27,111494.5,771405,329180,HD현대중공업
2021-10-28,110021.0078125,569668,329180,HD현대중공업
2021-10-29,114932.65625,693739,329180,HD현대중공업
2021-11-01,116406.1484375,385442,329180,HD현대중공업
2021-11-02,113950.328125,368462,329180,HD현대중공업
2021-11-03,114441.4921875,281713,329180,HD현대중공업
2021-11-04,110512.171875,292430,329180,HD현대중공업
2021-11-05,111494.5,330870,329180,HD현대중공업
2021-11-08,110021.0078125,176789,329180,HD현대중공업
2021-11-09,107565.171875,335982,329180,HD현대중공업
2021-11-10,109038.6796875,255794,329180,HD현대중공업
2021-11-11,110021.0078125,164295,329180,HD현대중공업
2021-11-12,110021.0078125,169377,329180,HD현대중공업
2021-11-15,111985.6640625,180931,329180,HD현대중공업
2021-11-16,109529.84375,145772,329180,HD현대중공업
2021-11-17,106582.84375,179729,329180,HD현대중공업
2021-11-18,104127.0234375,175355,329180,HD현대중공업
2021-11-19,107074.0078125,122211,329180,HD현대중공업
2021-11-22,107074.0078125,137867,329180,HD현대중공업
2021-11-23,109038.6796875,147284,329180,HD현대중공업
2021-11-24,110512.171875,123175,329180,HD현대중공업
2021-11-25,111985.6640625,248249,329180,HD현대중공업
2021-11-26,109529.84375,171573,329180,HD현대중공업
2021-11-29,106582.84375,177072,329180,HD현대중공업
2021-11-30,104618.1875,184116,329180,HD현대중공업
2021-12-01,106091.6796875,142292,329180,HD현대중공업
2021-12-02,111494.5,213861,329180,HD현대중공업
2021-12-03,109038.6796875,180027,329180,HD현대중공업
2021-12-06,110512.171875,162493,329180,HD현대중공업
2021-12-07,108056.34375,188247,329180,HD현대중공업
2021-12-08,106091.6796875,213352,329180,HD현대중공업
2021-12-09,105109.3515625,393768,329180,HD현대중공업
2021-12-10,105600.515625,224135,329180,HD현대중공업
2021-12-13,104127.0234375,199659,329180,HD현대중공업
2021-12-14,99215.375,325488,329180,HD현대중공업
2021-12-15,97152.4765625,297616,329180,HD현대중공업
2021-12-16,94009.0234375,448758,329180,HD현대중공업
2021-12-17,89883.234375,1686560,329180,HD현대중공업
2021-12-20,90276.1640625,462510,329180,HD현대중공업
2021-12-21,92339.0546875,411144,329180,HD현대중공업
2021-12-22,91062.03125,313539,329180,HD현대중공업
2021-12-23,90669.09375,214082,329180,HD현대중공업
2021-12-24,91062.03125,220253,329180,HD현대중공업
2021-12-27,91062.03125,191739,329180,HD현대중공업
2021-12-28,91062.03125,217210,329180,HD현대중공업
2021-12-29,92044.359375,258296,329180,HD현대중공업
2021-12-30,93517.859375,232685,329180,HD현대중공업
2022-01-04,99706.5390625,425113,329180,HD현대중공업
2022-01-05,102162.3515625,488265,329180,HD현대중공업
2022-01-06,109038.6796875,845951,329180,HD현대중공업
2022-01-07,110021.0078125,427073,329180,HD현대중공업
2022-01-10,109529.84375,432107,329180,HD현대중공업
2022-01-11,105109.3515625,380355,329180,HD현대중공업
2022-01-12,106582.84375,327291,329180,HD현대중공업
2022-01-13,103635.859375,178574,329180,HD현대중공업
2022-01-14,104127.0234375,447722,329180,HD현대중공업
2022-01-17,100197.703125,209131,329180,HD현대중공업
2022-01-18,101180.03125,246352,329180,HD현대중공업
2022-01-19,100197.703125,209795,329180,HD현대중공업
2022-01-20,101671.1875,146791,329180,HD현대중공업
2022-01-21,103635.859375,198031,329180,HD현대중공업
2022-01-24,99706.5390625,222116,329180,HD현대중공업
2022-01-25,95973.6796875,267898,329180,HD현대중공업
2022-01-26,95973.6796875,0,329180,HD현대중공업
2022-01-27,91749.65625,160754,329180,HD현대중공업
2022-01-28,97545.3984375,164368,329180,HD현대중공업
2022-02-03,100197.703125,163952,329180,HD현대중공업
2022-02-04,100197.703125,123018,329180,HD현대중공업
2022-02-07,99706.5390625,125054,329180,HD현대중공업
2022-02-08,99706.5390625,0,329180,HD현대중공업
2022-02-09,101180.03125,187002,329180,HD현대중공업
2022-02-10,99215.375,99003,329180,HD현대중공업
2022-02-11,96071.9140625,155249,329180,HD현대중공업
2022-02-14,93910.7890625,112913,329180,HD현대중공업
2022-02-15,94500.1875,139493,329180,HD현대중공업
2022-02-16,96268.375,97403,329180,HD현대중공업
2022-02-17,96563.078125,145013,329180,HD현대중공업
2022-02-18,97447.171875,120957,329180,HD현대중공업
2022-02-21,98134.8125,128539,329180,HD현대중공업
2022-02-22,98134.8125,0,329180,HD현대중공업
2022-02-23,107565.171875,491171,329180,HD현대중공업
2022-02-24,103635.859375,398595,329180,HD현대중공업
2022-02-25,107565.171875,274441,329180,HD현대중공업
2022-02-28,107565.171875,0,329180,HD현대중공업
2022-03-02,114441.4921875,483682,329180,HD현대중공업
2022-03-03,111003.3359375,374950,329180,HD현대중공업
2022-03-04,111985.6640625,231862,329180,HD현대중공업
2022-03-07,114441.4921875,246331,329180,HD현대중공업
2022-03-08,111494.5,196809,329180,HD현대중공업
2022-03-10,111494.5,0,329180,HD현대중공업
2022-03-11,110021.0078125,175659,329180,HD현대중공업
2022-03-14,111494.5,146595,329180,HD현대중공업
2022-03-15,111494.5,0,329180,HD현대중공업
2022-03-16,111494.5,0,329180,HD현대중공업
2022-03-17,111494.5,0,329180,HD현대중공업
2022-03-18,106582.84375,862650,329180,HD현대중공업
2022-03-21,106582.84375,0,329180,HD현대중공업
2022-03-22,111985.6640625,286203,329180,HD현대중공업
2022-03-23,113459.15625,258178,329180,HD현대중공업
2022-03-24,114932.65625,179791,329180,HD현대중공업
2022-03-25,115423.8203125,172617,329180,HD현대중공업
2022-03-28,115423.8203125,0,329180,HD현대중공업
2022-03-29,120826.640625,203796,329180,HD현대중공업
2022-03-30,115423.8203125,312495,329180,HD현대중공업
2022-03-31,117388.484375,132482,329180,HD현대중공업
2022-04-01,116897.3125,128991,329180,HD현대중공업
2022-04-04,118861.9765625,129247,329180,HD현대중공업
2022-04-05,124264.7890625,290232,329180,HD현대중공업
2022-04-06,124755.9609375,186145,329180,HD현대중공업
2022-04-07,119353.1484375,211250,329180,HD현대중공업
2022-04-08,121808.96875,143765,329180,HD현대중공업
2022-04-11,125247.125,113957,329180,HD현대중공업
2022-04-12,127211.7890625,198383,329180,HD현대중공업
2022-04-13,134088.09375,383827,329180,HD현대중공업
2022-04-14,136543.921875,314096,329180,HD현대중공업
2022-04-15,145384.890625,488027,329180,HD현대중공업
2022-04-18,139982.09375,266352,329180,HD현대중공업
2022-04-19,150787.71875,361662,329180,HD현대중공업
2022-04-20,146367.21875,542107,329180,HD현대중공업
2022-04-21,142929.078125,598407,329180,HD현대중공업
2022-04-22,137526.25,480103,329180,HD현대중공업
2022-04-25,137035.078125,238248,329180,HD현대중공업
2022-04-26,138017.40625,260290,329180,HD현대중공업
2022-04-27,141455.578125,312795,329180,HD현대중공업
2022-04-28,141455.578125,273272,329180,HD현대중공업
2022-04-29,137526.25,190100,329180,HD현대중공업
2022-05-02,137526.25,190759,329180,HD현대중공업
2022-05-03,135070.421875,205450,329180,HD현대중공업
2022-05-04,131141.109375,390969,329180,HD현대중공업
2022-05-06,131141.109375,237157,329180,HD현대중공업
2022-05-10,128194.1171875,217957,329180,HD현대중공업
2022-05-11,122791.3046875,460960,329180,HD현대중공업
2022-05-12,121808.96875,369250,329180,HD현대중공업
2022-05-13,123282.4609375,573256,329180,HD현대중공업
2022-05-16,124755.9609375,240162,329180,HD현대중공업
2022-05-17,119353.1484375,2331766,329180,HD현대중공업
2022-05-18,114932.65625,569257,329180,HD현대중공업
2022-05-19,112476.828125,557796,329180,HD현대중공업
2022-05-20,112967.9921875,262589,329180,HD현대중공업
2022-05-23,112967.9921875,253045,329180,HD현대중공업
2022-05-24,111003.3359375,418146,329180,HD현대중공업
2022-05-25,111003.3359375,254408,329180,HD현대중공업
2022-05-26,116897.3125,539957,329180,HD현대중공업
2022-05-27,120826.640625,469362,329180,HD현대중공업
2022-05-30,117388.484375,356189,329180,HD현대중공업
2022-05-31,116897.3125,1869378,329180,HD현대중공업
2022-06-02,117388.484375,261139,329180,HD현대중공업
2022-06-03,124264.7890625,368158,329180,HD현대중공업
2022-06-07,127211.7890625,281517,329180,HD현대중공업
2022-06-08,130158.78125,332607,329180,HD현대중공업
2022-06-09,132123.4375,584541,329180,HD현대중공업
2022-06-10,135561.59375,262327,329180,HD현대중공업
2022-06-13,130649.953125,274979,329180,HD현대중공업
2022-06-14,127211.7890625,335811,329180,HD현대중공업
2022-06-15,122791.3046875,158310,329180,HD현대중공업
2022-06-16,126720.6171875,246353,329180,HD현대중공업
2022-06-17,134088.09375,291470,329180,HD현대중공업
2022-06-20,131141.109375,175783,329180,HD현대중공업
2022-06-21,138999.765625,318333,329180,HD현대중공업
2022-06-22,136052.75,259601,329180,HD현대중공업
2022-06-23,128194.1171875,318376,329180,HD현대중공업
2022-06-24,129667.6171875,169665,329180,HD현대중공업
2022-06-27,137035.078125,186286,329180,HD현대중공업
2022-06-28,138017.40625,137730,329180,HD현대중공업
2022-06-29,138508.578125,158290,329180,HD현대중공업
2022-06-30,140473.25,290521,329180,HD현대중공업
2022-07-01,137526.25,207510,329180,HD현대중공업
2022-07-04,133105.765625,246418,329180,HD현대중공업
2022-07-05,132614.609375,281883,329180,HD현대중공업
2022-07-06,118861.9765625,572577,329180,HD현대중공업
2022-07-07,121317.8046875,383485,329180,HD현대중공업
2022-07-08,123282.4609375,215032,329180,HD현대중공업
2022-07-11,118370.8125,251207,329180,HD현대중공업
2022-07-12,118861.9765625,194835,329180,HD현대중공업
2022-07-13,113459.15625,332542,329180,HD현대중공업
2022-07-14,112967.9921875,174931,329180,HD현대중공업
2022-07-15,111985.6640625,119434,329180,HD현대중공업
2022-07-18,121808.96875,408691,329180,HD현대중공업
2022-07-19,120826.640625,163588,329180,HD현대중공업
2022-07-20,119844.3125,143237,329180,HD현대중공업
2022-07-21,121317.8046875,93775,329180,HD현대중공업
2022-07-22,120826.640625,87749,329180,HD현대중공업
2022-07-25,122300.140625,115129,329180,HD현대중공업
2022-07-26,121317.8046875,97128,329180,HD현대중공업
2022-07-27,119844.3125,184824,329180,HD현대중공업
2022-07-28,119844.3125,150851,329180,HD현대중공업
2022-07-29,122791.3046875,293913,329180,HD현대중공업
2022-08-01,132614.609375,426328,329180,HD현대중공업
2022-08-02,133596.9375,304427,329180,HD현대중공업
2022-08-03,134579.265625,198443,329180,HD현대중공업
2022-08-04,128685.28125,299739,329180,HD현대중공업
2022-08-05,129176.4453125,185499,329180,HD현대중공업
2022-08-08,131141.109375,150933,329180,HD현대중공업
2022-08-09,131632.28125,132516,329180,HD현대중공업
2022-08-10,137035.078125,473470,329180,HD현대중공업
2022-08-11,138017.40625,243003,329180,HD현대중공업
2022-08-12,134579.265625,243673,329180,HD현대중공업
2022-08-16,135561.59375,117876,329180,HD현대중공업
2022-08-17,133105.765625,170089,329180,HD현대중공업
2022-08-18,132123.4375,104554,329180,HD현대중공업
2022-08-19,136052.75,221576,329180,HD현대중공업
2022-08-22,135561.59375,105602,329180,HD현대중공업
2022-08-23,141946.75,386557,329180,HD현대중공업
2022-08-24,144402.5625,190989,329180,HD현대중공업
